:START_ID(Intersection),:END_ID(Intersection),distance:double,:TYPE
0,1,84.4934,STREET_SEGMENT
1,2,85.1410,STREET_SEGMENT
2,3,75.3635,STREET_SEGMENT
3,4,60.7272,STREET_SEGMENT
4,5,65.6605,STREET_SEGMENT
5,6,34.2004,STREET_SEGMENT
6,7,17.7504,STREET_SEGMENT
7,8,10.4796,STREET_SEGMENT
8,9,28.4014,STREET_SEGMENT
9,10,56.1139,STREET_SEGMENT
10,11,3.3583,STREET_SEGMENT
11,12,4.3892,STREET_SEGMENT
12,13,15.5397,STREET_SEGMENT
13,14,7.7976,STREET_SEGMENT
14,15,26.7475,STREET_SEGMENT
15,16,24.6846,STREET_SEGMENT
16,17,13.9905,STREET_SEGMENT
17,18,68.9756,STREET_SEGMENT
18,19,25.7801,STREET_SEGMENT
19,20,36.6557,STREET_SEGMENT
20,21,28.6820,STREET_SEGMENT
21,22,6.1220,STREET_SEGMENT
22,23,29.9219,STREET_SEGMENT
23,24,6.7299,STREET_SEGMENT
24,25,72.7403,STREET_SEGMENT
26,27,113.8099,STREET_SEGMENT
27,28,33.2490,STREET_SEGMENT
28,29,161.8276,STREET_SEGMENT
29,30,7.9973,STREET_SEGMENT
30,31,64.3439,STREET_SEGMENT
31,32,153.1462,STREET_SEGMENT
32,33,58.7380,STREET_SEGMENT
33,34,36.3594,STREET_SEGMENT
34,35,8.8673,STREET_SEGMENT
36,37,5.9499,STREET_SEGMENT
37,38,4.6675,STREET_SEGMENT
38,39,4.9573,STREET_SEGMENT
39,40,11.1915,STREET_SEGMENT
41,42,109.2428,STREET_SEGMENT
42,43,165.7113,STREET_SEGMENT
43,44,42.3423,STREET_SEGMENT
45,46,8.3689,STREET_SEGMENT
46,47,217.8175,STREET_SEGMENT
47,48,70.7927,STREET_SEGMENT
48,49,35.9909,STREET_SEGMENT
49,50,244.5396,STREET_SEGMENT
50,51,23.6491,STREET_SEGMENT
51,52,16.3169,STREET_SEGMENT
52,53,17.8774,STREET_SEGMENT
53,54,14.9510,STREET_SEGMENT
54,55,29.3375,STREET_SEGMENT
56,57,11.0149,STREET_SEGMENT
57,58,63.8019,STREET_SEGMENT
58,59,46.3240,STREET_SEGMENT
59,60,31.6445,STREET_SEGMENT
60,61,20.0512,STREET_SEGMENT
61,62,19.5795,STREET_SEGMENT
62,63,38.3680,STREET_SEGMENT
63,64,20.6162,STREET_SEGMENT
64,65,19.0890,STREET_SEGMENT
65,66,21.2741,STREET_SEGMENT
66,67,20.4904,STREET_SEGMENT
67,68,9.5183,STREET_SEGMENT
69,70,214.1490,STREET_SEGMENT
70,71,204.2026,STREET_SEGMENT
69,72,79.2206,STREET_SEGMENT
72,73,71.2306,STREET_SEGMENT
73,74,30.3734,STREET_SEGMENT
74,75,44.3239,STREET_SEGMENT
75,76,42.4318,STREET_SEGMENT
76,77,35.3149,STREET_SEGMENT
77,78,40.0992,STREET_SEGMENT
78,79,105.5972,STREET_SEGMENT
79,80,64.3417,STREET_SEGMENT
80,81,37.4173,STREET_SEGMENT
81,82,37.3933,STREET_SEGMENT
82,83,51.5029,STREET_SEGMENT
83,84,42.0353,STREET_SEGMENT
84,85,42.2794,STREET_SEGMENT
85,86,29.6160,STREET_SEGMENT
86,87,15.5090,STREET_SEGMENT
87,88,18.6057,STREET_SEGMENT
88,89,25.2279,STREET_SEGMENT
89,90,36.2064,STREET_SEGMENT
90,91,32.0175,STREET_SEGMENT
