nodeId:ID(Intersection),longitude:double,latitude:double,:LABEL
0,-60.0132076,-3.0952659,Intersection
1,-60.0132418,-3.0960250,Intersection
2,-60.0132880,-3.0967893,Intersection
3,-60.0133277,-3.0974659,Intersection
4,-60.0133579,-3.0980112,Intersection
5,-60.0133971,-3.0986004,Intersection
6,-60.0134189,-3.0989072,Intersection
7,-60.0134342,-3.0990661,Intersection
8,-60.0134410,-3.0991601,Intersection
9,-60.0134538,-3.0994152,Intersection
10,-60.0134847,-3.0999189,Intersection
11,-60.0134850,-3.0999491,Intersection
12,-60.0134874,-3.0999885,Intersection
13,-60.0134958,-3.1001280,Intersection
14,-60.0135000,-3.1001980,Intersection
15,-60.0135109,-3.1004383,Intersection
16,-60.0135202,-3.1006601,Intersection
17,-60.0135257,-3.1007858,Intersection
18,-60.0135533,-3.1014055,Intersection
19,-60.0135640,-3.1016371,Intersection
20,-60.0135863,-3.1019660,Intersection
21,-60.0136106,-3.1022228,Intersection
22,-60.0136131,-3.1022778,Intersection
23,-60.0136257,-3.1025466,Intersection
24,-60.0136274,-3.1026071,Intersection
25,-60.0136462,-3.1032610,Intersection
26,-60.0162218,-3.1121471,Intersection
27,-60.0151980,-3.1121972,Intersection
28,-60.0148989,-3.1122118,Intersection
29,-60.0134449,-3.1123126,Intersection
30,-60.0133729,-3.1123146,Intersection
31,-60.0127944,-3.1123488,Intersection
32,-60.0114175,-3.1124302,Intersection
33,-60.0108894,-3.1124614,Intersection
34,-60.0105625,-3.1124807,Intersection
35,-60.0104828,-3.1124858,Intersection
36,-60.0129168,-3.1104931,Intersection
37,-60.0128637,-3.1105003,Intersection
38,-60.0128288,-3.1105237,Intersection
39,-60.0128014,-3.1105589,Intersection
40,-60.0128045,-3.1106595,Intersection
41,-60.0102969,-3.1093917,Intersection
42,-60.0112791,-3.1093341,Intersection
43,-60.0127690,-3.1092466,Intersection
44,-60.0131497,-3.1092243,Intersection
45,-60.0159193,-3.1078841,Intersection
46,-60.0159162,-3.1078089,Intersection
47,-60.0158326,-3.1058518,Intersection
48,-60.0158060,-3.1052157,Intersection
49,-60.0157867,-3.1048926,Intersection
50,-60.0157238,-3.1026943,Intersection
51,-60.0157150,-3.1024818,Intersection
52,-60.0157115,-3.1023351,Intersection
53,-60.0157005,-3.1021747,Intersection
54,-60.0156894,-3.1020407,Intersection
55,-60.0156406,-3.1017814,Intersection
56,-60.0134931,-3.1142503,Intersection
57,-60.0133947,-3.1142377,Intersection
58,-60.0128230,-3.1142956,Intersection
59,-60.0124083,-3.1143413,Intersection
60,-60.0121250,-3.1143724,Intersection
61,-60.0119455,-3.1143922,Intersection
62,-60.0117700,-3.1144094,Intersection
63,-60.0114261,-3.1144432,Intersection
64,-60.0112430,-3.1144740,Intersection
65,-60.0110755,-3.1145127,Intersection
66,-60.0108942,-3.1145746,Intersection
67,-60.0107207,-3.1146374,Intersection
68,-60.0106416,-3.1146704,Intersection
69,-43.4644835,-22.6567184,Intersection
70,-43.4656433,-22.6583195,Intersection
71,-43.4667423,-22.6598505,Intersection
72,-43.4651239,-22.6563205,Intersection
73,-43.4656960,-22.6559577,Intersection
74,-43.4659428,-22.6558069,Intersection
75,-43.4663030,-22.6555869,Intersection
76,-43.4666447,-22.6553720,Intersection
77,-43.4669311,-22.6551959,Intersection
78,-43.4672582,-22.6549986,Intersection
79,-43.4681107,-22.6544667,Intersection
80,-43.4686313,-22.6541442,Intersection
81,-43.4689389,-22.6539635,Intersection
82,-43.4692535,-22.6537938,Intersection
83,-43.4696961,-22.6535754,Intersection
84,-43.4700576,-22.6533976,Intersection
85,-43.4704278,-22.6532307,Intersection
86,-43.4706895,-22.6531184,Intersection
87,-43.4708327,-22.6530738,Intersection
88,-43.4710095,-22.6530367,Intersection
89,-43.4712538,-22.6530113,Intersection
90,-43.4716062,-22.6529952,Intersection
91,-43.4719182,-22.6529928,Intersection
92,-43.4721017,-22.6530030,Intersection
93,-43.4722348,-22.6530175,Intersection
94,-43.4723800,-22.6530542,Intersection
95,-43.4724632,-22.6530777,Intersection
96,-43.4725933,-22.6531260,Intersection
97,-43.4727958,-22.6532175,Intersection
98,-43.4730560,-22.6533661,Intersection
99,-43.4734811,-22.6536148,Intersection
100,-43.4743515,-22.6541260,Intersection
101,-43.4752057,-22.6546494,Intersection
102,-43.4754123,-22.6547757,Intersection
103,-43.4755786,-22.6548821,Intersection
104,-43.4757181,-22.6549527,Intersection
105,-43.4758437,-22.6550051,Intersection
106,-43.4760158,-22.6550650,Intersection
107,-43.4762326,-22.6551196,Intersection
108,-43.4764705,-22.6551623,Intersection
109,-43.4767245,-22.6551782,Intersection
110,-43.4769415,-22.6551718,Intersection
111,-43.4771485,-22.6551547,Intersection
112,-43.4773766,-22.6551247,Intersection
113,-43.4777154,-22.6550652,Intersection
114,-43.4780717,-22.6550106,Intersection
115,-43.4783953,-22.6549549,Intersection
116,-43.4785545,-22.6549317,Intersection
117,-43.4787047,-22.6549119,Intersection
118,-43.4788549,-22.6549106,Intersection
119,-43.4791580,-22.6549329,Intersection
120,-43.4795751,-22.6549787,Intersection
121,-43.4796837,-22.6549973,Intersection
122,-43.4797816,-22.6550220,Intersection
123,-43.4798621,-22.6550567,Intersection
124,-43.4799573,-22.6551025,Intersection
125,-43.4803744,-22.6553562,Intersection
126,-43.4804817,-22.6554379,Intersection
127,-43.4805420,-22.6554948,Intersection
128,-43.4806024,-22.6555616,Intersection
129,-43.4806600,-22.6556433,Intersection
130,-43.4807137,-22.6557225,Intersection
131,-43.4808049,-22.6558586,Intersection
132,-43.4809014,-22.6559874,Intersection
133,-43.4809805,-22.6561012,Intersection
134,-43.4810972,-22.6562398,Intersection
135,-43.4812260,-22.6563859,Intersection
136,-43.4813815,-22.6565517,Intersection
137,-43.4815063,-22.6566841,Intersection
138,-43.4816363,-22.6568042,Intersection
139,-43.4817825,-22.6569304,Intersection
140,-43.4819220,-22.6570307,Intersection
141,-43.4820937,-22.6571359,Intersection
142,-43.4822633,-22.6572222,Intersection
143,-43.4824409,-22.6572874,Intersection
144,-43.4825917,-22.6573285,Intersection
145,-43.4827442,-22.6573585,Intersection
146,-43.4828899,-22.6573750,Intersection
147,-43.4830709,-22.6573675,Intersection
148,-43.4832041,-22.6573633,Intersection
149,-43.4836593,-22.6572826,Intersection
150,-43.4844132,-22.6571237,Intersection
151,-43.4849553,-22.6569755,Intersection
152,-43.4853577,-22.6568561,Intersection
153,-43.4856678,-22.6567671,Intersection
154,-43.4859745,-22.6566887,Intersection
155,-43.4861941,-22.6566297,Intersection
156,-43.4638580,-22.6570976,Intersection
157,-43.4632807,-22.6574607,Intersection
158,-43.4626335,-22.6578594,Intersection
159,-43.4625725,-22.6578970,Intersection
160,-43.4610987,-22.6588079,Intersection
161,-43.4602018,-22.6593220,Intersection
162,-43.4598903,-22.6595158,Intersection
163,-43.4595750,-22.6597173,Intersection
164,-43.4592250,-22.6599405,Intersection
165,-43.4587065,-22.6602980,Intersection
166,-43.4581912,-22.6606618,Intersection
167,-43.4575541,-22.6611803,Intersection
168,-43.4566623,-22.6621023,Intersection
169,-43.4558294,-22.6629310,Intersection
170,-43.4556483,-22.6631189,Intersection
171,-43.4555960,-22.6631762,Intersection
172,-43.4539976,-22.6648558,Intersection
173,-43.4533940,-22.6654882,Intersection
174,-43.4532103,-22.6656713,Intersection
175,-43.4530722,-22.6657890,Intersection
176,-43.4528912,-22.6659077,Intersection
177,-43.4526644,-22.6660117,Intersection
178,-43.4523305,-22.6661441,Intersection
179,-43.4518370,-22.6663013,Intersection
180,-43.4513327,-22.6664757,Intersection
181,-43.4643589,-22.6565765,Intersection
182,-43.4642865,-22.6565034,Intersection
183,-43.4642127,-22.6564453,Intersection
184,-43.4641416,-22.6564081,Intersection
185,-43.4640665,-22.6563735,Intersection
186,-43.4639794,-22.6563351,Intersection
187,-43.4638551,-22.6562886,Intersection
188,-43.4637767,-22.6562621,Intersection
189,-43.4635462,-22.6561841,Intersection
190,-43.4633370,-22.6561173,Intersection
191,-43.4628187,-22.6559433,Intersection
192,-43.4625304,-22.6558435,Intersection
193,-43.4622190,-22.6557363,Intersection
194,-43.4619874,-22.6556247,Intersection
195,-43.4617429,-22.6554887,Intersection
196,-43.4614297,-22.6553143,Intersection
197,-43.4613299,-22.6552683,Intersection
198,-43.4612508,-22.6552419,Intersection
199,-43.4610547,-22.6551890,Intersection
200,-43.4609577,-22.6551651,Intersection
201,-43.4608427,-22.6551266,Intersection
202,-43.4607404,-22.6550905,Intersection
203,-43.4606368,-22.6550361,Intersection
204,-43.4605216,-22.6549662,Intersection
205,-43.4604473,-22.6549256,Intersection
206,-43.4603689,-22.6548858,Intersection
207,-43.4602712,-22.6548424,Intersection
208,-43.4601657,-22.6548078,Intersection
209,-43.4600582,-22.6547783,Intersection
210,-43.4599655,-22.6547601,Intersection
211,-43.4598745,-22.6547461,Intersection
212,-43.4597836,-22.6547405,Intersection
213,-43.4596617,-22.6547401,Intersection
214,-43.4595029,-22.6547432,Intersection
215,-43.4594233,-22.6547425,Intersection
216,-43.4593448,-22.6547386,Intersection
217,-43.4592667,-22.6547232,Intersection
218,-43.4591498,-22.6546873,Intersection
219,-43.4589050,-22.6545972,Intersection
220,-43.4584210,-22.6544393,Intersection
221,-43.4580494,-22.6543122,Intersection
222,-43.4579016,-22.6542616,Intersection
223,-43.4578155,-22.6542364,Intersection
224,-43.4577452,-22.6542217,Intersection
225,-43.4576456,-22.6542061,Intersection
226,-43.4575294,-22.6541944,Intersection
227,-43.4570550,-22.6541861,Intersection
228,-43.4568947,-22.6541882,Intersection
229,-43.4566835,-22.6542215,Intersection
230,-43.4564642,-22.6542570,Intersection
231,-43.4562097,-22.6542938,Intersection
232,-43.4560266,-22.6543054,Intersection
233,-43.4558650,-22.6543264,Intersection
234,-43.4557335,-22.6543621,Intersection
235,-43.4555891,-22.6544252,Intersection
236,-43.4554685,-22.6544886,Intersection
237,-43.4553418,-22.6545571,Intersection
238,-43.4552627,-22.6545910,Intersection
239,-43.4551861,-22.6546106,Intersection
240,-43.4551239,-22.6546175,Intersection
241,-43.4865248,-22.6565583,Intersection
242,-43.4866433,-22.6565332,Intersection
243,-43.4868503,-22.6564789,Intersection
244,-43.4869569,-22.6564511,Intersection
245,-43.4873425,-22.6563598,Intersection
246,-43.4878933,-22.6562140,Intersection
247,-43.4881330,-22.6561314,Intersection
248,-43.4883675,-22.6560287,Intersection
249,-43.4887235,-22.6558658,Intersection
250,-43.4891689,-22.6556139,Intersection
251,-43.4896327,-22.6554507,Intersection
252,-43.4898335,-22.6553777,Intersection
253,-43.4900052,-22.6553345,Intersection
254,-43.4901592,-22.6553025,Intersection
255,-43.4903054,-22.6552779,Intersection
256,-43.4904831,-22.6552776,Intersection
257,-43.4906897,-22.6552917,Intersection
258,-43.4908396,-22.6553157,Intersection
259,-43.4909931,-22.6553453,Intersection
260,-43.4912320,-22.6553960,Intersection
261,-43.4914509,-22.6554492,Intersection
262,-43.4917790,-22.6555236,Intersection
263,-43.4920072,-22.6555738,Intersection
264,-43.4921275,-22.6555975,Intersection
265,-43.4923222,-22.6556215,Intersection
266,-43.4925476,-22.6556319,Intersection
267,-43.4927961,-22.6556064,Intersection
268,-43.4930348,-22.6555535,Intersection
269,-43.4932741,-22.6554849,Intersection
270,-43.4935989,-22.6553612,Intersection
271,-43.4938499,-22.6552514,Intersection
272,-43.4940431,-22.6551529,Intersection
273,-43.4941166,-22.6551016,Intersection
274,-43.4942089,-22.6550373,Intersection
275,-43.4943970,-22.6548772,Intersection
276,-43.4945901,-22.6547015,Intersection
277,-43.4948480,-22.6544528,Intersection
278,-43.4949663,-22.6543271,Intersection
279,-43.4950293,-22.6542733,Intersection
280,-43.4951151,-22.6542219,Intersection
281,-43.4952539,-22.6541645,Intersection
282,-43.4953894,-22.6541123,Intersection
283,-43.4954913,-22.6540839,Intersection
284,-43.4956207,-22.6540579,Intersection
285,-43.4957059,-22.6540511,Intersection
